station_id,hour,outflow,inflow
4074.14,8,1,0
4846.01,13,0,2
4883.03,17,0,1
4927.04,17,0,1
4939.07,13,0,1
4953.04,7,0,1
4962.08,10,0,1
4987.06,9,0,1
4993.02,8,0,2
4993.02,10,0,2
4993.13,10,0,1
4993.15,8,0,1
4993.15,9,0,2
4993.15,10,0,1
5027.02,9,0,1
5033.01,12,0,1
5059.02,8,0,1
5065.04,11,0,1
5065.10,8,0,1
5065.10,9,0,14
5065.10,10,0,7
5065.12,9,0,3
5065.12,10,0,3
5065.12,11,0,1
5065.14,9,0,1
5073.07,7,0,1
5073.07,14,0,1
5096.12,8,0,1
5099.02,8,0,1
5105.01,9,0,1
5105.01,10,0,3
5105.01,12,0,2
5105.01,15,0,1
5105.09,9,0,1
5114.06,16,0,1
5114.06,17,0,1
5114.06,18,0,1
5114.06,19,0,1
5114.08,10,0,1
5114.08,18,0,2
5114.08,19,0,1
5137.10,11,0,1
5137.11,10,0,1
5137.11,12,0,1
5145.02,7,0,1
5145.02,10,0,1
5167.06,16,0,1
5170.01,7,0,1
5170.01,8,0,1
5175.08,8,0,5
5175.08,9,0,3
5175.08,10,0,2
5175.08,11,0,1
5175.08,12,0,1
5175.08,14,0,1
5175.08,17,0,1
5178.06,19,0,1
5184.08,19,0,1
5187.03,14,0,1
5207.01,10,0,2
5216.06,14,0,1
5216.06,16,0,1
5235.05,17,0,1
5235.10,17,0,1
5235.10,19,0,1
5241.02,8,0,1
5247.10,8,0,1
5279.03,11,0,1
5288.08,9,0,1
5288.08,10,0,1
5288.09,8,0,1
5288.09,14,0,1
5288.12,9,0,1
5288.12,10,0,2
5288.12,13,0,1
5297.02,7,0,5
5297.02,8,0,5
5297.02,9,0,4
5297.02,10,0,5
5297.02,11,0,4
5297.02,14,0,3
5297.02,15,0,2
5297.02,17,0,1
5297.02,18,0,1
5297.02,19,0,1
5297.02,21,0,1
5329.03,8,0,5
5329.03,9,0,1
5329.03,11,0,1
5329.03,13,0,2
5329.03,14,0,1
5329.03,16,0,1
5329.03,18,0,5
5329.03,19,0,8
5329.08,17,0,3
5359.10,8,0,1
5359.10,14,0,1
5359.10,15,0,1
5359.11,7,0,4
5359.11,10,0,2
5359.11,11,0,1
5359.11,12,0,2
5359.11,14,0,1
5359.11,19,0,1
5359.12,15,0,1
5359.13,11,0,1
5359.13,13,0,1
5368.03,7,0,1
5368.03,8,0,4
5368.03,9,0,1
5368.03,10,0,1
5368.03,11,0,2
5368.03,12,0,2
5368.03,13,0,1
5368.03,17,0,1
5368.03,18,0,2
5368.03,19,0,1
5391.06,8,0,1
5391.06,9,0,1
5391.06,10,0,1
5400.05,8,0,1
5400.05,11,0,1
5400.05,13,0,1
5419.04,17,0,1
5422.04,7,0,1
5422.04,8,0,1
5422.09,14,0,1
5422.09,19,0,2
5430.08,8,0,1
5430.08,9,0,2
5430.08,10,0,1
5430.08,12,0,5
5430.10,10,0,3
5430.10,13,0,1
5470.02,8,0,1
5470.02,10,0,2
5470.02,20,0,2
5470.10,7,0,1
5470.10,8,0,4
5470.10,9,0,1
5470.10,11,0,1
5470.10,12,0,2
5470.10,13,0,3
5470.12,7,0,11
5470.12,8,0,2
5470.12,9,0,3
5470.12,10,0,1
5470.12,16,0,2
5470.12,18,0,2
5484.09,17,0,1
5489.06,11,0,1
5492.05,8,0,2
5492.05,10,0,2
5492.05,13,0,1
5492.05,17,0,1
5500.07,12,0,2
5500.07,14,0,2
5509.02,9,0,1
5532.01,8,0,9
5532.01,10,0,16
5532.01,11,0,1
5539.06,8,0,2
5561.04,8,0,3
5561.04,10,0,1
5561.04,11,0,1
5561.06,7,0,4
5561.06,8,0,29
5569.06,8,0,1
5569.06,13,0,1
5578.02,8,0,3
5578.02,9,0,1
5584.04,16,0,1
5584.04,17,0,14
5584.04,18,0,5
5602.06,10,0,8
5602.06,11,0,2
5626.07,15,0,1
5644.05,10,0,1
5644.05,11,0,1
5644.05,15,0,1
5653.12,8,0,1
5659.05,18,0,1
5679.05,8,0,1
5679.08,8,0,3
5679.08,11,0,1
5679.08,18,0,1
5687.04,9,0,1
5687.04,16,0,2
5687.04,17,0,1
5696.03,9,0,3
5696.03,17,0,1
5712.12,15,0,2
5712.12,16,0,7
5712.12,18,0,2
5721.07,10,0,2
5721.14,18,0,1
5730.08,8,0,1
5730.08,19,0,1
5772.05,9,0,1
5779.11,17,0,3
5779.11,23,0,1
5805.07,11,0,1
5805.07,20,0,2
